order_release_id,order_line_id,return_type,return_date,packet_id,customer_paid_amount,total_settlement,total_actual_settlement,amount_pending_settlement,prepaid_commission_deduction,prepaid_logistics_deduction,prepaid_payment,postpaid_commission_deduction,postpaid_logistics_deduction,postpaid_payment,return_id,upload_timestamp
8293585988,10293557233,exchange,2025-01-27 17:09:58,9655595774,798.998,-747.411,-747.411,0.0,145.989,-94.4,-799.0,0.0,0.0,0.0,100011536968,2025-03-31 15:59:51.184547
8299397541,10299368839,return_refund,2025-02-02 07:48:56,9657458392,599.004,-548.555,-548.555,0.0,0.0,0.0,0.0,109.445,-59.0,-599.0,100012574144,2025-03-31 15:59:51.184547
8298402789,10298374081,return_refund,2025-02-03 14:58:04,9657116811,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100012743862,2025-03-31 15:59:51.184547
8317759105,10317730553,return_refund,2025-02-14 09:31:00,9663339447,599.004,-548.555,-548.555,0.0,109.445,-59.0,-599.0,0.0,0.0,0.0,100015591618,2025-03-31 15:59:51.184547
8291791730,10291762948,return_refund,2025-02-02 06:26:07,9655094090,899.0,-846.84,-846.84,0.0,0.0,0.0,0.0,164.26,-112.1,-899.0,100012648915,2025-03-31 15:59:51.184547
8294719540,10294690797,return_refund,2025-01-30 06:52:41,9656105200,949.001,-846.404,-846.404,0.0,173.396,-70.8,-949.0,0.0,0.0,0.0,100011887987,2025-03-31 15:59:51.184547
8285560210,10285531318,return_refund,2025-01-27 14:40:15,9653042515,698.996,-665.682,-665.682,0.0,127.718,-94.4,-699.0,0.0,0.0,0.0,100011238554,2025-03-31 15:59:51.184547
8315215914,10315187335,return_refund,2025-02-19 09:50:18,9662599977,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100016746524,2025-03-31 15:59:51.184547
8283093627,10283064672,return_refund,2025-02-12 15:37:28,9652174900,798.998,-723.811,-723.811,0.0,131.372,-63.71056,-719.0,14.617,-7.08944,-80.0,100009510334,2025-03-31 15:59:51.184547
8287656434,10287627594,return_refund,2025-01-23 05:59:14,9653595309,798.998,-747.411,-747.411,0.0,145.989,-94.4,-799.0,0.0,0.0,0.0,100010189011,2025-03-31 15:59:51.184547
8322471114,10322442626,return_refund,2025-02-24 14:31:28,9664856780,799.008,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100018149788,2025-03-31 15:59:51.184547
8313855325,10313826727,return_refund,2025-02-18 06:40:41,9662090061,999.002,-928.569,-928.569,0.0,179.425,-110.19194,-982.0,3.106,-1.90806,-17.0,100016777231,2025-03-31 15:59:51.184547
8315351050,10315322474,return_refund,2025-02-12 14:24:24,9662587535,599.004,-548.555,-548.555,0.0,109.445,-59.0,-599.0,0.0,0.0,0.0,100015373134,2025-03-31 15:59:51.184547
8300132338,10300103641,return_refund,2025-02-05 06:38:04,9657659866,599.004,-583.955,-583.955,0.0,0.0,0.0,0.0,109.445,-94.4,-599.0,100013330265,2025-03-31 15:59:51.184547
8306860809,10306832135,exchange,2025-02-06 16:30:03,9659888807,799.008,-723.812,-723.812,0.0,133.929,-64.95192,-733.0,12.059,-5.84808,-66.0,100014083552,2025-03-31 15:59:51.184547
8313803322,10313774724,return_refund,2025-02-17 11:58:40,9662073886,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100016496955,2025-03-31 15:59:51.184547
8284011800,10283982870,return_refund,2025-01-23 07:18:10,9652457879,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100010166071,2025-03-31 15:59:51.184547
8294429088,10294400340,return_refund,2025-01-30 08:08:36,9656044811,599.004,-572.155,-572.155,0.0,109.445,-82.6,-599.0,0.0,0.0,0.0,100012045187,2025-03-31 15:59:51.184547
8289041892,10289013078,return_refund,2025-01-27 13:23:58,9654177893,798.998,-723.811,-723.811,0.0,116.755,-56.6223,-639.0,29.234,-14.1777,-160.0,100011043191,2025-03-31 15:59:51.184547
8318627130,10318598578,return_refund,2025-02-13 08:35:50,9663638763,599.004,-548.555,-548.555,0.0,109.445,-59.0,-599.0,0.0,0.0,0.0,100015700526,2025-03-31 15:59:51.184547
8297206859,10297178143,exchange,2025-02-04 12:08:21,9656839495,949.001,-870.004,-870.004,0.0,0.0,0.0,0.0,173.396,-94.4,-949.0,100013383914,2025-03-31 15:59:51.184547
8306603876,10306575197,return_refund,2025-02-07 08:10:43,9659821828,948.99,-834.604,-834.604,0.0,173.396,-59.0,-949.0,0.0,0.0,0.0,100013984910,2025-03-31 15:59:51.184547
8316230979,10316202415,return_refund,2025-02-17 13:14:48,9662891996,599.004,-572.155,-572.155,0.0,109.445,-82.6,-599.0,0.0,0.0,0.0,100016561125,2025-03-31 15:59:51.184547
8296983436,10296954718,return_refund,2025-02-10 07:19:55,9656619999,599.004,-601.654,-601.654,0.0,98.483,-100.87112,-539.0,10.963,-11.22888,-60.0,100014852961,2025-03-31 15:59:51.184547
8289972784,10289943981,return_refund,2025-01-31 11:17:42,9654470813,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100012389261,2025-03-31 15:59:51.184547
8315043225,10315014640,return_refund,2025-02-12 14:52:48,9662680385,799.008,-712.011,-712.011,0.0,145.989,-59.0,-799.0,0.0,0.0,0.0,100015437037,2025-03-31 15:59:51.184547
8313368954,10313340355,return_refund,2025-02-13 13:50:05,9661991929,798.998,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100015450718,2025-03-31 15:59:51.184547
8287634504,10287605664,return_refund,2025-01-28 10:03:32,9653663939,949.001,-870.004,-870.004,0.0,160.971,-87.63624,-881.0,12.425,-6.76376,-68.0,100011275407,2025-03-31 15:59:51.184547
8297035840,10297007122,return_refund,2025-02-03 09:13:08,9656643594,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100012984723,2025-03-31 15:59:51.184547
8303751241,10303722551,return_refund,2025-02-17 13:51:04,9659158996,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100016551102,2025-03-31 15:59:51.184547
8294330089,10294301337,exchange,2025-02-01 17:26:40,9656732872,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100012752153,2025-03-31 15:59:51.184547
8298238519,10298209810,return_refund,2025-02-05 11:59:33,9657178297,649.005,-624.819,-624.819,0.0,0.0,0.0,0.0,118.581,-94.4,-649.0,100013682056,2025-03-31 15:59:51.184547
8296492266,10296463532,return_refund,2025-02-02 09:52:15,9656515271,798.998,-747.411,-747.411,0.0,0.0,0.0,0.0,145.989,-94.4,-799.0,100012801134,2025-03-31 15:59:51.184547
8313079573,10313050972,return_refund,2025-02-17 10:18:18,9661818627,599.004,-572.154,-572.154,0.0,98.483,-74.32584,-539.0,10.963,-8.27416,-60.0,100016687051,2025-03-31 15:59:51.184547
8296875622,10296846898,return_refund,2025-02-01 14:05:23,9656617600,798.998,-747.411,-747.411,0.0,145.989,-94.4,-799.0,0.0,0.0,0.0,100012557465,2025-03-31 15:59:51.184547
