"order_release_id","order_line_id","return_type","return_date","packet_id","customer_paid_amount","upload_timestamp"
"8301216798","10301188103","","2025-03-31 18:41:27.282546","9658012054","798.998","2025-03-31 18:41:27.281970"
"8296115082","10296086346","","2025-03-31 18:41:27.282545","9656423605","949.001","2025-03-31 18:41:27.281970"
"8318032620","10318004071","","2025-03-31 18:41:27.282544","9663474368","499.002","2025-03-31 18:41:27.281970"
"8313507283","10313478682","","2025-03-31 18:41:27.282543","9662055322","949.001","2025-03-31 18:41:27.281970"
"8310805788","10310777167","","2025-03-31 18:41:27.282542","9661086660","599.004","2025-03-31 18:41:27.281970"
"8297206859","10297178143","","2025-03-31 18:41:27.282554","9656839495","949.001","2025-03-31 18:41:27.281970"
"8320017297","10319988764","","2025-03-31 18:41:27.282555","9664066657","999.002","2025-03-31 18:41:27.281970"
"8319977412","10319948879","","2025-03-31 18:41:27.282568","9664103697","599.004","2025-03-31 18:41:27.281970"
"8315172344","10315143765","","2025-03-31 18:41:27.282556","9662733732","799.008","2025-03-31 18:41:27.281970"
"8317763604","10317735053","","2025-03-31 18:41:27.282567","9663315126","798.998","2025-03-31 18:41:27.281970"
"8316977391","10316948831","","2025-03-31 18:41:27.282566","9663174147","749.008","2025-03-31 18:41:27.281970"
"8316727810","10316699249","","2025-03-31 18:41:27.282565","9663043321","799.008","2025-03-31 18:41:27.281970"
"8310369762","10310341137","","2025-03-31 18:41:27.282565","9661066198","948.99","2025-03-31 18:41:27.281970"
"8303929103","10303900415","","2025-03-31 18:41:27.282564","9658902843","649.005","2025-03-31 18:41:27.281970"
"8314745493","10314716897","","2025-03-31 18:41:27.282563","9662312938","599.004","2025-03-31 18:41:27.281970"
"8295181885","10295153145","","2025-03-31 18:41:27.282563","9656080004","698.996","2025-03-31 18:41:27.281970"
"8319765023","10319736484","","2025-03-31 18:41:27.282562","9664082315","599.004","2025-03-31 18:41:27.281970"
"8316758682","10316730121","","2025-03-31 18:41:27.282561","9663091233","698.996","2025-03-31 18:41:27.281970"
"8296578513","10296549782","","2025-03-31 18:41:27.282560","9656490733","699.006","2025-03-31 18:41:27.281970"
"8294595192","10294566447","","2025-03-31 18:41:27.282560","9656045082","798.998","2025-03-31 18:41:27.281970"
"8291403738","10291374948","","2025-03-31 18:41:27.282559","9655025495","798.998","2025-03-31 18:41:27.281970"
"8308736904","10308708259","","2025-03-31 18:41:27.282558","9660450590","798.998","2025-03-31 18:41:27.281970"
"8299255380","10299226678","","2025-03-31 18:41:27.282558","9657419533","999.002","2025-03-31 18:41:27.281970"
"8292791839","10292763067","","2025-03-31 18:41:27.282557","9655344978","698.996","2025-03-31 18:41:27.281970"
"8298749797","10298721092","","2025-03-31 18:41:27.282596","9657242496","798.998","2025-03-31 18:41:27.281970"
"8296149240","10296120505","","2025-03-31 18:41:27.282597","9656499799","599.004","2025-03-31 18:41:27.281970"
"8314017757","10313989160","","2025-03-31 18:41:27.282625","9662092104","798.998","2025-03-31 18:41:27.281970"
"8312432244","10312403636","","2025-03-31 18:41:27.282632","9661628361","999.002","2025-03-31 18:41:27.281970"
"8289934834","10289906031","","2025-03-31 18:41:27.282638","9654403097","899.01","2025-03-31 18:41:27.281970"
"8305233813","10305205132","","2025-03-31 18:41:27.282637","9659465692","599.004","2025-03-31 18:41:27.281970"
"8179613702","10179583865","","2025-03-31 18:41:27.282636","9621780717","898.002","2025-03-31 18:41:27.281970"
"8323419711","10323391234","","2025-03-31 18:41:27.282635","9665133441","599.004","2025-03-31 18:41:27.281970"
"8308162708","10308134042","","2025-03-31 18:41:27.282635","9660266555","599.004","2025-03-31 18:41:27.281970"
"8307112306","10307083632","","2025-03-31 18:41:27.282634","9659960499","698.996","2025-03-31 18:41:27.281970"
"8294499180","10294470433","","2025-03-31 18:41:27.282633","9655865734","899.0","2025-03-31 18:41:27.281970"
"8292771828","10292743056","","2025-03-31 18:41:27.282632","9655564063","798.998","2025-03-31 18:41:27.281970"
"8305221546","10305192865","","2025-03-31 18:41:27.282598","9659533250","798.998","2025-03-31 18:41:27.281970"
"8314420158","10314391562","","2025-03-31 18:41:27.282631","9662506791","599.004","2025-03-31 18:41:27.281970"
"8295920929","10295892191","","2025-03-31 18:41:27.282630","9656309946","599.004","2025-03-31 18:41:27.281970"
"8309925927","10309897291","","2025-03-31 18:41:27.282630","9661101429","999.002","2025-03-31 18:41:27.281970"
"8317238556","10317210004","","2025-03-31 18:41:27.282629","9663173024","948.99","2025-03-31 18:41:27.281970"
"8305608598","10305579919","","2025-03-31 18:41:27.282628","9659467525","699.006","2025-03-31 18:41:27.281970"
"8295910904","10295882166","","2025-03-31 18:41:27.282627","9656499033","599.004","2025-03-31 18:41:27.281970"
"8313334308","10313305709","","2025-03-31 18:41:27.282626","9662064172","799.008","2025-03-31 18:41:27.281970"
"8290373153","10290344351","","2025-03-31 18:41:27.282638","9654580279","599.004","2025-03-31 18:41:27.281970"
"8319256215","10319227672","","2025-03-31 18:41:27.282639","9663785235","799.008","2025-03-31 18:41:27.281970"
"8287753822","10287724984","","2025-03-31 18:41:27.282640","9653666246","698.996","2025-03-31 18:41:27.281970"
"8288473553","10288444728","","2025-03-31 18:41:27.282640","9653931049","599.004","2025-03-31 18:41:27.281970"
"8290665114","10290636314","","2025-03-31 18:41:27.282651","9654687228","799.008","2025-03-31 18:41:27.281970"
"8299167758","10299139056","","2025-03-31 18:41:27.282650","9657360254","599.004","2025-03-31 18:41:27.281970"
"8307955742","10307927073","","2025-03-31 18:41:27.282650","9660199661","798.998","2025-03-31 18:41:27.281970"
"8282926991","10282898034","","2025-03-31 18:41:27.282649","9652014546","599.004","2025-03-31 18:41:27.281970"
"8287853165","10287824330","","2025-03-31 18:41:27.282648","9653764963","599.004","2025-03-31 18:41:27.281970"
"8313669974","10313641376","","2025-03-31 18:41:27.282648","9662068165","599.004","2025-03-31 18:41:27.281970"
"8311104415","10311075795","","2025-03-31 18:41:27.282647","9661177702","599.004","2025-03-31 18:41:27.281970"
"8323235902","10323207425","","2025-03-31 18:41:27.282646","9665082698","599.004","2025-03-31 18:41:27.281970"
"8315118472","10315089893","","2025-03-31 18:41:27.282645","9662482392","599.004","2025-03-31 18:41:27.281970"
"8320083063","10320054530","","2025-03-31 18:41:27.282645","9664096969","899.0","2025-03-31 18:41:27.281970"
"8309934176","10309905540","","2025-03-31 18:41:27.282644","9660800902","599.004","2025-03-31 18:41:27.281970"
"8305211919","10305183238","","2025-03-31 18:41:27.282643","9659382248","949.001","2025-03-31 18:41:27.281970"
"8288841252","10288812435","","2025-03-31 18:41:27.282643","9654104975","798.998","2025-03-31 18:41:27.281970"
"8300132338","10300103641","","2025-03-31 18:41:27.282642","9657659866","599.004","2025-03-31 18:41:27.281970"
"8298104649","10298075940","","2025-03-31 18:41:27.282641","9657041331","599.004","2025-03-31 18:41:27.281970"
"8290468543","10290439742","","2025-03-31 18:41:27.282626","9654599054","799.008","2025-03-31 18:41:27.281970"
"8310718513","10310689890","","2025-03-31 18:41:27.282540","9661196782","949.001","2025-03-31 18:41:27.281970"
"8321460358","10321431865","","2025-03-31 18:41:27.282624","9664547273","698.996","2025-03-31 18:41:27.281970"
"8307080455","10307051781","","2025-03-31 18:41:27.282610","9659946033","949.001","2025-03-31 18:41:27.281970"
"8313901175","10313872577","","2025-03-31 18:41:27.282609","9662307485","799.008","2025-03-31 18:41:27.281970"
"8298118244","10298089535","","2025-03-31 18:41:27.282608","9657049240","599.004","2025-03-31 18:41:27.281970"
"8308464537","10308435885","","2025-03-31 18:41:27.282607","9660555328","848.999","2025-03-31 18:41:27.281970"
"8287909780","10287880946","","2025-03-31 18:41:27.282607","9653742447","798.998","2025-03-31 18:41:27.281970"
"8287790663","10287761826","","2025-03-31 18:41:27.282606","9653721225","949.001","2025-03-31 18:41:27.281970"
"8306881603","10306852929","","2025-03-31 18:41:27.282605","9659864134","599.004","2025-03-31 18:41:27.281970"
"8289088248","10289059436","","2025-03-31 18:41:27.282605","9654203419","798.998","2025-03-31 18:41:27.281970"
"8321928950","10321900458","","2025-03-31 18:41:27.282604","9664738495","649.005","2025-03-31 18:41:27.281970"
"8288200196","10288171364","","2025-03-31 18:41:27.282603","9653757421","599.004","2025-03-31 18:41:27.281970"
"8308358067","10308329414","","2025-03-31 18:41:27.282602","9660461957","798.998","2025-03-31 18:41:27.281970"
"8305044515","10305015833","","2025-03-31 18:41:27.282602","9659344243","798.998","2025-03-31 18:41:27.281970"
"8314949209","10314920622","","2025-03-31 18:41:27.282601","9662617793","798.998","2025-03-31 18:41:27.281970"
"8301562021","10301533327","","2025-03-31 18:41:27.282600","9658151996","698.996","2025-03-31 18:41:27.281970"
"8317981936","10317953387","","2025-03-31 18:41:27.282600","9663421091","599.004","2025-03-31 18:41:27.281970"
"8307789647","10307760977","","2025-03-31 18:41:27.282599","9660321096","699.006","2025-03-31 18:41:27.281970"
"8302357101","10302328407","","2025-03-31 18:41:27.282610","9658373142","599.004","2025-03-31 18:41:27.281970"
"8312378693","10312350085","","2025-03-31 18:41:27.282611","9661714305","799.008","2025-03-31 18:41:27.281970"
"8311681280","10311652666","","2025-03-31 18:41:27.282623","9661503251","699.006","2025-03-31 18:41:27.281970"
"8309074785","10309046143","","2025-03-31 18:41:27.282612","9660629201","798.998","2025-03-31 18:41:27.281970"
"8310406124","10310377499","","2025-03-31 18:41:27.282623","9661063800","799.008","2025-03-31 18:41:27.281970"
"8302196752","10302168058","","2025-03-31 18:41:27.282622","9658354905","798.998","2025-03-31 18:41:27.281970"
"8314871979","10314843386","","2025-03-31 18:41:27.282621","9662360980","749.008","2025-03-31 18:41:27.281970"
"8306984060","10306955386","","2025-03-31 18:41:27.282620","9659916936","998.992","2025-03-31 18:41:27.281970"
"8305141399","10305112717","","2025-03-31 18:41:27.282620","9659284276","798.998","2025-03-31 18:41:27.281970"
"8301562026","10301533332","","2025-03-31 18:41:27.282619","9658151996","698.996","2025-03-31 18:41:27.281970"
"8294486812","10294458065","","2025-03-31 18:41:27.282618","9655826891","599.004","2025-03-31 18:41:27.281970"
"8315747133","10315718564","","2025-03-31 18:41:27.282618","9662721378","649.005","2025-03-31 18:41:27.281970"
"8306742835","10306714159","","2025-03-31 18:41:27.282617","9659846494","899.0","2025-03-31 18:41:27.281970"
