order_release_id,return_settlement_amount,source_file
8307883141,-665.682,02-2025
8321478013,-875.469,02-2025
8287354887,-928.569,02-2025
8303238343,-601.655,02-2025
8292583397,-601.655,02-2025
8291231355,-712.011,02-2025
8293166965,-887.269,02-2025
8297234189,-712.011,02-2025
8293171973,-870.004,02-2025
8301110516,-712.011,02-2025
8297035841,-560.355,02-2025
8314659322,-572.154,02-2025
8281548517,-870.004,02-2025
8292440331,-870.004,02-2025
8294480125,-560.355,02-2025
8309459404,-572.155,02-2025
8309594057,-706.547,02-2025
8310720155,-870.004,02-2025
8321029281,-548.555,02-2025
8312154683,-834.605,02-2025
8297107045,-682.948,02-2025
8285560208,-608.473,02-2025
8294566202,-560.355,02-2025
8299236332,-776.475,02-2025
8313005114,-723.812,02-2025
8291644209,-870.004,02-2025
8312831670,-583.954,02-2025
8291331345,-776.475,02-2025
8308464070,-624.819,02-2025
8295551849,-642.083,02-2025
8293002729,-548.555,02-2025
8297118906,-572.155,02-2025
8318174895,-572.155,02-2025
8319955513,-834.604,02-2025
8291527933,-723.811,02-2025
8318301756,-846.84,02-2025
8316121664,-723.811,02-2025
8291235805,-723.811,02-2025
8301740541,-572.155,02-2025
8319151867,-548.555,02-2025
8310211821,-712.011,02-2025
8303272324,-723.812,02-2025
8302738823,-583.955,02-2025
8286714893,-713.902,02-2025
8279450343,-689.384,02-2025
8302577865,-747.411,02-2025
8311311657,-747.411,02-2025
8321477683,-490.426,02-2025
8296954069,-887.269,02-2025
8306602896,-642.082,02-2025
8310415545,-601.655,02-2025
8283581290,-572.155,02-2025
8291247895,-548.555,02-2025
8297429848,-747.411,02-2025
8307793343,-560.355,02-2025
8304679357,-747.411,02-2025
8308482360,-829.14,02-2025
8305459850,-572.155,02-2025
8315274793,-723.811,02-2025
8319421147,-834.604,02-2025
8320822659,-589.419,02-2025
8323414529,-548.555,02-2025
8295136317,-712.011,02-2025
8293172801,-642.082,02-2025
8294480321,-572.155,02-2025
8318114769,-601.655,02-2025
8302480055,-642.082,02-2025
8292775401,-601.219,02-2025
8293654487,-723.811,02-2025
8298930514,-572.155,02-2025
8298011646,-910.869,02-2025
8283068328,-642.083,02-2025
8314521402,-490.425,02-2025
8310083465,-805.975,02-2025
8314331123,-723.811,02-2025
8293743275,-712.013,02-2025
8310562740,-870.004,02-2025
8302739340,-624.819,02-2025
8298159577,-601.655,02-2025
8294413544,-846.404,02-2025
8310477673,-723.811,02-2025
8308998849,-747.411,02-2025
8317045643,-723.811,02-2025
8317290392,-747.411,02-2025
8305346788,-805.54,02-2025
8315560326,-560.355,02-2025
8295910904,-560.355,02-2025
8285988031,-723.811,02-2025
8301110514,-712.011,02-2025
8307702143,-870.004,02-2025
8311869292,-572.153,02-2025
8308571045,-776.475,02-2025
8318021207,-712.011,02-2025
8290454069,-747.411,02-2025
8303962357,-601.653,02-2025
8308034569,-723.811,02-2025
8288479935,-583.955,02-2025
8287634509,-870.004,02-2025
8287880335,-712.011,02-2025
8312915560,-601.655,02-2025
8306984060,-875.469,02-2025
8300132338,-583.955,02-2025
8315351050,-548.555,02-2025
8313855325,-928.569,02-2025
8322471114,-723.811,02-2025
8287656434,-747.411,02-2025
8283093627,-723.811,02-2025
8315215914,-601.655,02-2025
8285560210,-665.682,02-2025
8294719540,-846.404,02-2025
8291791730,-846.84,02-2025
8317759105,-548.555,02-2025
8298402789,-601.655,02-2025
8299397541,-548.555,02-2025
8293585988,-747.411,02-2025
8316875367,-711.995,02-2025
8288783180,-870.004,02-2025
8289483832,-572.154,02-2025
8315327825,-712.011,02-2025
8305682816,-601.655,02-2025
8294490978,-601.655,02-2025
8296943441,-560.355,02-2025
8306511524,-776.475,02-2025
8323286897,-805.54,02-2025
8299048821,-548.555,02-2025
8299948583,-630.283,02-2025
8323453789,-712.011,02-2025
8299099619,-870.004,02-2025
8283054651,-723.811,02-2025
8311390495,-642.082,02-2025
8311894199,-642.082,02-2025
8305276097,-601.655,02-2025
8300919491,-747.412,02-2025
8296313191,-601.655,02-2025
8318669520,-747.412,02-2025
8322826828,-805.54,02-2025
8286420382,-846.84,02-2025
8292279106,-624.819,02-2025
8320692483,-601.655,02-2025
8286568103,-723.811,02-2025
8296843708,-671.147,02-2025
8303652605,-601.653,02-2025
8314000586,-723.811,02-2025
8296719038,-601.655,02-2025
8288841253,-747.411,02-2025
8315638823,-601.655,02-2025
8288113829,-665.682,02-2025
8296607875,-747.411,02-2025
8309183416,-723.811,02-2025
8307193707,-630.282,02-2025
8319122543,-560.355,02-2025
8289057357,-870.004,02-2025
8307798100,-747.411,02-2025
8303055814,-712.011,02-2025
8314178024,-723.811,02-2025
8315805284,-846.404,02-2025
8306860809,-723.812,02-2025
8313803322,-601.655,02-2025
8284011800,-870.004,02-2025
8307352466,-870.004,02-2025
8319977412,-601.655,02-2025
8318057504,-572.155,02-2025
8297393422,-870.004,02-2025
8301509046,-712.011,02-2025
8307677482,-560.355,02-2025
8312377844,-870.004,02-2025
8285546197,-805.54,02-2025
8297858068,-642.083,02-2025
8295794746,-834.604,02-2025
8278326520,-479.061,02-2025
8307514342,-601.655,02-2025
8314659326,-572.154,02-2025
8288434651,-899.069,02-2025
8319542097,-793.74,02-2025
8317518019,-723.811,02-2025
8294995071,-723.811,02-2025
8304166863,-723.812,02-2025
8310799690,-601.655,02-2025
8314339727,-665.682,02-2025
8291836670,-870.004,02-2025
8309770961,-572.155,02-2025
8296934401,-601.655,02-2025
8296492267,-747.411,02-2025
8311916372,-601.655,02-2025
8317830508,-712.011,02-2025
8294320721,-776.475,02-2025
8293067427,-747.411,02-2025
8312213798,-560.355,02-2025
8303811768,-870.004,02-2025
8289972785,-870.004,02-2025
8313079574,-601.654,02-2025
8301490440,-671.147,02-2025
8307259177,-601.655,02-2025
8296184397,-834.604,02-2025
8321928950,-601.219,02-2025
8289675782,-870.004,02-2025
8294901462,-601.655,02-2025
8313368954,-723.811,02-2025
8319918818,-665.682,02-2025
8313079573,-572.154,02-2025
8296492266,-747.411,02-2025
8298238519,-624.819,02-2025
8294330089,-870.004,02-2025
8303751241,-601.655,02-2025
8297035840,-601.655,02-2025
8287634504,-870.004,02-2025
