order_release_id,customer_paid_amount,total_commission_plus_tcs_tds_deduction,total_logistics_deduction,vendor_payout_amount,source_file
8316571334,798.998,-145.989,-176.9764,476.0346,02-2025
8282721733,999.002,-182.531,-181.72,634.749,02-2025
8296001470,798.998,-145.989,-176.9764,476.0346,02-2025
8306227585,599.004,-109.447,-213.58,275.973,02-2025
8306259556,698.9960000000001,-127.718,-122.6964,448.58560000000006,02-2025
8304987472,599.004,-109.445,-213.58,275.975,02-2025
8305899271,599.004,-109.445,-177.0,312.555,02-2025
8307292119,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8317926770,799.008,-145.989,-90.86,562.151,02-2025
8311143811,698.9960000000001,-127.718,-79.0364,492.2456,02-2025
8289645297,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8285715614,798.998,-145.989,-86.1164,566.8946,02-2025
8292253980,649.005,-118.582,-177.0,353.41800000000006,02-2025
8302947294,798.998,-145.989,-129.7764,523.2346,02-2025
8310162644,799.008,-145.989,-84.96,568.0509999999999,02-2025
8316953343,599.0039999999999,-109.445,-79.0364,410.5186,02-2025
8318423344,798.998,-145.989,-84.3464,568.6646,02-2025
8139258484,848.999,-155.125,-218.3,475.575,02-2025
8322373619,599.004,-109.445,-204.1164,285.4386,02-2025
8314400283,798.998,-145.989,-129.7764,523.2346,02-2025
8292119371,798.998,-145.988,-90.86,562.152,02-2025
8310640094,848.999,-155.125,-218.3,475.5749999999999,02-2025
8321124705,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8286395254,798.998,-145.989,-86.1164,566.8946,02-2025
8286452838,599.004,-109.445,-96.76,392.795,02-2025
8288570782,599.0039999999999,-109.445,-70.7764,418.7786,02-2025
8288644206,599.004,-109.447,-86.14,403.413,02-2025
8298097272,599.004,-109.445,-80.24,409.315,02-2025
8305019860,698.9960000000001,-127.717,-177.0,394.283,02-2025
8308252746,699.0060000000001,-127.718,-73.1364,498.14560000000006,02-2025
8315010178,799.008,-145.989,-86.14,566.8710000000001,02-2025
8301559883,599.004,-109.445,-213.58,275.975,02-2025
8302136581,799.008,-145.989,-181.72,471.291,02-2025
8310414872,798.998,-145.989,-84.3464,568.6646,02-2025
8319122543,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8294473193,999.002,-182.531,-181.6964,634.7726,02-2025
8294775677,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8319918818,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8310212128,599.004,-109.445,-213.58,275.975,02-2025
8286928477,798.998,-145.989,-181.72,471.291,02-2025
8296915745,798.998,-145.989,-90.86,562.151,02-2025
8315125690,698.9960000000001,-127.718,-169.8964,401.38560000000007,02-2025
8317034646,649.005,-118.582,-177.0,353.418,02-2025
8285484246,798.998,-145.989,-90.86,562.151,02-2025
8289385918,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8296992532,599.004,-109.445,-96.76,392.795,02-2025
8296012679,798.998,-145.988,-90.86,562.152,02-2025
8300501822,799.008,-145.989,-81.3964,571.6146,02-2025
8301542472,649.005,-118.581,-177.0,353.4189999999999,02-2025
8308931718,949.001,-173.396,-90.86,684.744,02-2025
8309885502,599.004,-109.445,-213.58,275.975,02-2025
8320749820,698.9960000000001,-127.718,-81.42,489.862,02-2025
8302524126,949.001,-173.396,-181.72,593.884,02-2025
8309431895,599.004,-109.445,-204.1164,285.4386,02-2025
8310211821,799.008,-145.989,-80.2164,572.7946,02-2025
8312270339,699.0060000000001,-127.718,-83.485,487.797,02-2025
8321177256,599.004,-109.445,-177.0,312.555,02-2025
8319765032,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8322143020,899.0,-164.26,-218.3,516.4399999999999,02-2025
8286066438,698.9960000000001,-127.718,-86.14,485.14200000000005,02-2025
8287354887,999.002,-182.531,-218.2764,598.1926000000001,02-2025
8313522925,848.999,-155.125,-101.48,592.395,02-2025
8311287963,949.001,-173.396,-90.86,684.744,02-2025
8318225323,649.005,-118.581,-168.7164,361.7026,02-2025
8309347237,798.998,-145.989,-181.72,471.291,02-2025
8309887582,798.998,-145.989,-86.1164,566.8946,02-2025
8291836669,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8312955806,798.998,-145.989,-90.86,562.151,02-2025
8316758680,698.9960000000001,-127.718,-77.2664,494.01560000000006,02-2025
8298549756,599.004,-109.445,-167.5364,322.0186,02-2025
8319280882,798.998,-145.989,-129.7764,523.2346,02-2025
8297640473,798.998,-145.989,-86.14,566.871,02-2025
8299210603,799.008,-145.989,-84.96,568.0509999999999,02-2025
8314710700,798.998,-145.989,-181.72,471.291,02-2025
8292118021,799.008,-145.989,-84.96,568.0509999999999,02-2025
8306724507,798.998,-145.989,-176.9764,476.0346,02-2025
8296480769,599.004,-109.445,-86.14,403.415,02-2025
8299436531,949.001,-173.396,-180.5164,595.0876000000001,02-2025
8316584071,649.005,-118.581,-168.7164,361.7026,02-2025
8297681992,798.998,-145.989,-176.9764,476.0346,02-2025
8308861247,698.9960000000001,-127.718,-86.14,485.14200000000005,02-2025
8314431270,798.998,-145.989,-176.9764,476.0346,02-2025
8315470244,948.99,-173.396,-89.6564,685.9476000000001,02-2025
8314027371,949.001,-173.396,-89.6564,685.9476000000001,02-2025
8318488301,599.004,-109.445,-167.5364,322.0186,02-2025
8292033873,998.992,-182.533,-92.04,724.427,02-2025
8313088780,798.998,-145.989,-176.9764,476.0346,02-2025
8299932439,798.998,-145.989,-176.9764,476.0346,02-2025
8300085240,699.0060000000001,-127.718,-81.42,489.862,02-2025
8312831670,599.004,-109.446,-177.0,312.554,02-2025
8315433301,599.0039999999999,-109.445,-77.8564,411.6986,02-2025
8314011174,599.004,-109.446,-177.0,312.554,02-2025
8315051668,649.005,-118.582,-177.0,353.418,02-2025
8289636316,798.998,-145.989,-86.1164,566.8946,02-2025
8300609602,798.998,-145.989,-90.86,562.151,02-2025
8306562214,798.998,-145.989,-181.72,471.291,02-2025
8323247494,948.99,-173.396,-84.96,690.644,02-2025
8282354967,599.004,-109.445,-213.58,275.975,02-2025
8289682743,749.0079999999999,-136.853,-80.24,531.9069999999999,02-2025
8309119844,649.005,-118.581,-177.0,353.419,02-2025
8297532474,599.004,-109.445,-96.76,392.795,02-2025
8298683442,798.998,-145.989,-181.72,471.291,02-2025
8317901776,798.998,-145.989,-176.9764,476.0346,02-2025
